site_code,project_code,project_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0021890,J02789,Widgiemooltha Nickel / Mincor,Mine,Decline,Care And Maintenance,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.621111,-31.700925,Y
S0022527,J02817,Mandilla,Deposit,Unspecified,Undeveloped,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.520113,-31.378336,Y
S0022989,J03360,Mt Thirsty,Deposit,Unspecified,Undeveloped,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","DUNDAS, SHIRE OF",121.647807,-32.101878,Y
S0023210,J00082,Darlot,Infrastructure,Power Plant,Operating,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.270186,-27.897001,Y
S0024157,J00250,Yandal - Bronzewing,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",120.939015,-27.419213,Y
S0236189,J02419,Thunderbox Gold,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.007295,-28.195991,Y
S0236281,J02285,Mt Marion Lithium,Mine,Openpit,Operating,TIN - TANTALUM - LITHIUM,Speciality metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.460085,-31.077395,Y
S0236468,J00184,Aldiss - Karonie,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",122.560084,-31.039246,Y
S0236531,J00098,Agnew - Emu,Infrastructure,Power Plant,Operating,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",120.513421,-27.99723,Y
S0236793,J04132,Tarmoola Aggregate / MLG Oz,Mine,Stockpile,Operating,CONSTRUCTION MATERIALS,Construction material,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.157925,-28.667398,Y
S0236968,J00342,Redcliffe,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",121.563431,-28.462902,Y
S0237055,J01376,Pennys Find,Mine,Decline,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.873865,-30.53085,Y
S0237291,J01837,New Bulong - Boundary - Kal East Gold Project,Mine,Openpit,Care And Maintenance,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.775318,-30.729082,Y
S0238023,J00772,Mt Weld REE / Lynas,Infrastructure,Processing Plant,Operating,RARE EARTHS,Speciality metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.402116,-30.79577,Y
S0233226,J04745,Roe,Mine,Openpit,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",122.56706,-30.715117,Y
S0000689,J00084,Davyhurst - Lady Ida - Mulline - Riverina - Siberia Gold,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",120.56481,-29.74401,Y
S0001161,J04814,Mungari / Evolution,Mine,Openpit,Care And Maintenance,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.125901,-30.76261,Y
S0239942,J05641,Lady Julie,Mine,Openpit,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",122.307224,-28.687753,Y
S0241339,J01726,Jundee - Nimary,Infrastructure,Power Plant,Operating,OTHER,Energy,"MID-WEST, Development Region","WILUNA, SHIRE OF",120.612274,-26.378076,Y
S0223460,J01287,Teutonic Bore - Jaguar,Mine,Decline,Care And Maintenance,COPPER - LEAD - ZINC,Base metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.158923,-28.478179,Y
S0019517,J00444,Bald Hill,Mine,Openpit,Care And Maintenance,TIN - TANTALUM - LITHIUM,Speciality metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",122.177346,-31.522761,Y
S0242263,J00094,Porphyry - Northern Operations,Infrastructure,Power Plant,Proposed,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",122.285334,-29.784079,Y
S0234164,J04902,Kathleen Valley Lithium,Mine,Openpit,Operating,TIN - TANTALUM - LITHIUM,Speciality metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",120.558141,-27.471056,Y
S0022741,J02802,Leonora - Crawford and Gambier Lass,Mine,Openpit,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.58491,-28.878056,Y
S0243263,J00772,Mt Weld REE / Lynas,Infrastructure,Power Plant,Operating,RARE EARTHS,Speciality metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",122.525955,-28.858262,Y
S0239831,J04621,Kambalda Nickel,Mine,Decline,Proposed,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.79884,-31.343558,Y
S0000933,J04770,Bellevue,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",120.55763,-27.636059,Y
S0243410,J04770,Bellevue,Infrastructure,Power Plant,Operating,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",120.552344,-27.630257,Y
S0243721,J01726,Jundee - Nimary,Infrastructure,Power Plant,Operating,OTHER,Energy,"MID-WEST, Development Region","WILUNA, SHIRE OF",120.619836,-26.360092,Y
S0245194,J00019,Binduli,Infrastructure,Power Plant,Operating,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.368267,-30.788132,Y
S0245278,J05577,Jasper Hills,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",123.116749,-29.099665,Y
S0003994,J02818,North Monger - Kal East Gold Project,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.896962,-30.96945,Y
S0246239,J07035,Parkeston Power Station - Kalgoorlie,Infrastructure,Power Plant,Operating,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.506346,-30.737768,Y
S0246245,J00430,Mt Ida Gold,Infrastructure,Power Plant,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",120.462235,-29.10149,Y
S0005068,J06689,Lady Ida / Lamerton Geoda,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",120.662244,-30.494737,Y
S0001538,J00545,Abra - Mulgul,Mine,Decline,Operating,COPPER - LEAD - ZINC,Base metal,"MID-WEST, Development Region","MEEKATHARRA, SHIRE OF",118.585522,-24.638199,Y
S0224538,J03229,West Pilbara - Mt Stuart /API,Mine,Openpit,Proposed,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",116.285766,-22.433621,Y
S0230520,J03193,Yarraloola / CZR,Mine,Openpit,Proposed,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",116.011578,-21.761843,Y
S0022237,J03935,Pannawonica CID,Mine,Openpit,Proposed,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",116.14756,-21.781662,Y
S0022812,J03312,Paulsens East Iron,Mine,Openpit,Care And Maintenance,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",116.33697,-22.562834,Y
S0020506,J02011,Glenburgh,Mine,Openpit,Proposed,GOLD,Precious metal,"GASCOYNE, Development Region","UPPER GASCOYNE, SHIRE OF",116.100229,-25.391457,Y
S0230898,J04673,Yamarna - Gruyere JV,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",123.845224,-27.984416,Y
S0236664,J01858,Yamarna / Gold Road,Deposit,Unspecified,Undeveloped,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",123.764018,-28.337695,Y
S0239299,J04673,Yamarna - Gruyere JV,Infrastructure,Power Plant,Operating,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",123.852586,-28.005041,Y
S0230742,J04275,McIntosh Graphite,Deposit,Unspecified,Undeveloped,GRAPHITE,Industrial mineral,"KIMBERLEY, Development Region","HALLS CREEK, SHIRE OF",127.962612,-17.611129,Y
S0001805,J00819,Panton,Mine,Decline,Proposed,CHROMITE - PLATINOIDS,Precious metal,"KIMBERLEY, Development Region","HALLS CREEK, SHIRE OF",127.831605,-17.751516,Y
S0019821,J00656,Savannah Nickel,Mine,Decline,Care And Maintenance,NICKEL,Steel alloy metal,"KIMBERLEY, Development Region","HALLS CREEK, SHIRE OF",128.025651,-17.353475,Y
S0001902,J00905,Speewah Fluorite,Deposit,Unspecified,Undeveloped,FLUORITE,Industrial mineral,"KIMBERLEY, Development Region","WYNDHAM-EAST KIMBERLEY, SHIRE OF",127.978837,-16.404296,Y
S0001602,J01147,Cockatoo Island,Mine,Openpit,Operating,IRON ORE,Iron,"KIMBERLEY, Development Region","DERBY/WEST KIMBERLEY, SHIRE OF",123.608019,-16.098391,Y
S0005227,J01916,Wuudagu Bauxite / VBX,Deposit,Unspecified,Undeveloped,BAUXITE - ALUMINA,Alumina,"KIMBERLEY, Development Region","WYNDHAM-EAST KIMBERLEY, SHIRE OF",126.472247,-14.279496,Y
S0019349,J02575,Wyndham Port Authority,Infrastructure,Port,Operating,UNASSIGNED,Other (MINEDEX non-minerals),"KIMBERLEY, Development Region","WYNDHAM-EAST KIMBERLEY, SHIRE OF",128.101114,-15.451146,Y
S0020981,J00728,Koolan Island,Mine,Openpit,Operating,IRON ORE,Iron,"KIMBERLEY, Development Region","DERBY/WEST KIMBERLEY, SHIRE OF",123.738107,-16.133014,Y
S0003046,J00626,Nifty,Mine,Decline,Care And Maintenance,COPPER - LEAD - ZINC,Base metal,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",121.567408,-21.656745,Y
S0003263,J01613,O'Callaghans,Deposit,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,Steel alloy metal,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",122.258509,-21.792087,Y
S0019793,J00338,Telfer / Greatland Resources,Infrastructure,Power Plant,Operating,OTHER,Energy,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",122.182513,-21.741817,Y
S0000732,J00338,Telfer / Greatland Resources,Mine,Openpit,Operating,GOLD,Precious metal,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",122.207128,-21.719551,Y
S0237397,J04792,Minyari Dome,Deposit,Unspecified,Undeveloped,GOLD,Precious metal,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",122.257694,-21.381333,Y
S0020250,J02733,Gorgon LNG Processing,Infrastructure,Processing Plant,Operating,PETROLEUM,Energy,"PILBARA, Development Region","ASHBURTON, SHIRE OF",115.458308,-20.783456,Y
S0005219,J01915,Ridges Iron Ore,Mine,Openpit,Operating,IRON ORE,Iron,"KIMBERLEY, Development Region","WYNDHAM-EAST KIMBERLEY, SHIRE OF",128.260095,-16.618586,Y
S0019367,J02581,Ord River Hydro,Infrastructure,Power Plant,Operating,OTHER,Energy,"KIMBERLEY, Development Region","WYNDHAM-EAST KIMBERLEY, SHIRE OF",128.743826,-16.10519,Y
S0005047,J01894,Paroo Station,Mine,Openpit,Care And Maintenance,COPPER - LEAD - ZINC,Base metal,"MID-WEST, Development Region","WILUNA, SHIRE OF",119.943308,-26.519216,Y
S0224488,J03848,Mackay Potash / Agrimin,Mine,Pond,Proposed,POTASH,Industrial mineral,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",128.433013,-22.550226,Y
S0230961,J00788,Port Gregory Garnet/GMA,Mine,Openpit,Operating,HEAVY MINERAL SANDS,Industrial mineral,"MID-WEST, Development Region","NORTHAMPTON, SHIRE OF",114.25626,-28.146616,Y
S0001864,J00871,Shark Bay Salt,Mine,Pond,Operating,SALT,Industrial mineral,"GASCOYNE, Development Region","SHARK BAY, SHIRE OF",113.402465,-26.157671,Y
S0003598,J01474,Lake MacLeod Gypsum,Mine,Openpit,Operating,GYPSUM,Industrial mineral,"GASCOYNE, Development Region","CARNARVON, SHIRE OF",113.562718,-24.234362,Y
S0004238,J01644,Lucky Bay Garnet,Mine,Openpit,Operating,HEAVY MINERAL SANDS,Industrial mineral,"MID-WEST, Development Region","NORTHAMPTON, SHIRE OF",114.183066,-28.029367,Y
S0019457,J01474,Lake MacLeod Gypsum,Infrastructure,Port,Operating,GYPSUM,Industrial mineral,"GASCOYNE, Development Region","CARNARVON, SHIRE OF",113.394117,-24.224587,Y
S0023351,J00870,Lake MacLeod Salt,Mine,Pond,Operating,SALT,Industrial mineral,"GASCOYNE, Development Region","CARNARVON, SHIRE OF",113.551608,-24.446488,Y
S0240062,J02467,Coburn Zircon,Mine,Openpit,Care And Maintenance,HEAVY MINERAL SANDS,Speciality metal,"GASCOYNE, Development Region","SHARK BAY, SHIRE OF",114.11905,-26.695937,Y
S0240113,J06004,HyEnergy - Green Hydrogen,Other,Unspecified,Proposed,OTHER,Energy,"GASCOYNE, Development Region","CARNARVON, SHIRE OF",113.768684,-25.091906,Y
S0245265,J06953,Murchison Hydrogen Renewables,Infrastructure,Processing Plant,Proposed,PETROLEUM,Other (MINEDEX non-minerals),"MID-WEST, Development Region","NORTHAMPTON, SHIRE OF",114.070523,-27.396632,Y
S0223607,J03668,Speewah Vanadium-Titanium,Mine,Openpit,Proposed,VANADIUM - TITANIUM,Steel alloy metal,"KIMBERLEY, Development Region","WYNDHAM-EAST KIMBERLEY, SHIRE OF",127.949547,-16.36141,Y
S0023302,J03442,Cyclone Zircon,Mine,Openpit,Proposed,HEAVY MINERAL SANDS,Speciality metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",128.732183,-28.81705,Y
S0230566,J00725,Woodie Woodie (Mining Corridor) / ConsMin,Mine,Openpit,Operating,MANGANESE ORE,Steel alloy metal,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",121.232375,-21.601475,Y
S0022801,J03309,Kumpupintil Lake,Mine,Pond,Under Development,POTASH,Industrial mineral,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",122.814737,-23.281754,Y
S0006746,J00109,Fortnum,Mine,Decline,Operating,GOLD,Precious metal,"MID-WEST, Development Region","MEEKATHARRA, SHIRE OF",118.358508,-25.321886,Y
S0240915,J00109,Fortnum,Infrastructure,Power Plant,Operating,OTHER,Energy,"MID-WEST, Development Region","MEEKATHARRA, SHIRE OF",118.357911,-25.326353,Y
S0022843,J00753,West Pilbara - Red Hill / API,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",116.195804,-22.055675,Y
S0236158,J03221,Albany and Grasmere Wind Farms,Infrastructure,Power Plant,Operating,OTHER,Energy,"GREAT SOUTHERN, Development Region","ALBANY, CITY OF",117.759897,-35.044479,Y
S0001462,J00676,Southdown Magnetite,Mine,Openpit,Proposed,IRON ORE,Iron,"GREAT SOUTHERN, Development Region","ALBANY, CITY OF",118.521038,-34.542796,Y
S0019343,J02572,Albany Port Authority,Infrastructure,Port,Operating,UNASSIGNED,Other (MINEDEX non-minerals),"GREAT SOUTHERN, Development Region","ALBANY, CITY OF",117.903614,-35.039416,Y
S0022422,J03221,Albany and Grasmere Wind Farms,Infrastructure,Power Plant,Operating,OTHER,Energy,"GREAT SOUTHERN, Development Region","ALBANY, CITY OF",117.785114,-35.059046,Y
S0004316,J01658,Mindijup / TT Sand,Mine,Openpit,Operating,SILICA - SILICA SAND,Industrial mineral,"GREAT SOUTHERN, Development Region","ALBANY, CITY OF",118.076797,-34.768851,Y
S0019195,J00913,Three Springs Talc,Mine,Openpit,Operating,TALC,Industrial mineral,"MID-WEST, Development Region","THREE SPRINGS, SHIRE OF",115.861195,-29.506352,Y
S0023090,J00918,Kemerton Silicon / Simcoa,Mine,Openpit,Operating,SILICA - SILICA SAND,Industrial mineral,"WHEATBELT, Development Region","MOORA, SHIRE OF",116.03651,-30.518787,Y
S0005867,J02187,Oakajee Deepwater Port and Rail,Infrastructure,Port,Proposed,IRON ORE,Iron,"MID-WEST, Development Region","CHAPMAN VALLEY, SHIRE OF",114.59711,-28.615727,Y
S0246911,J07142,Oakajee Strategic Industrial Area,Infrastructure,Other,Proposed,UNASSIGNED,Other (MINEDEX non-minerals),"MID-WEST, Development Region","CHAPMAN VALLEY, SHIRE OF",114.612817,-28.599635,Y
S0240111,J06003,Western Green Energy Hub (WGEH),Infrastructure,Unspecified,Proposed,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","DUNDAS, SHIRE OF",128.955111,-31.649304,Y
S0223554,J03660,Wheatstone LNG,Infrastructure,Processing Plant,Operating,PETROLEUM,Energy,"PILBARA, Development Region","ASHBURTON, SHIRE OF",114.992355,-21.697155,Y
S0223555,J03661,Macedon Domestic Gas,Infrastructure,Processing Plant,Operating,PETROLEUM,Energy,"PILBARA, Development Region","ASHBURTON, SHIRE OF",114.980473,-21.731537,Y
S0223575,J03665,Ashburton North Strategic Industrial Area,Infrastructure,Port,Operating,UNASSIGNED,Energy,"PILBARA, Development Region","ASHBURTON, SHIRE OF",115.003549,-21.684295,Y
S0236298,J05329,Tubridgi Underground Gas Storage Facility,Infrastructure,Processing Plant,Operating,PETROLEUM,Energy,"PILBARA, Development Region","ASHBURTON, SHIRE OF",114.86671,-21.783932,Y
S0020548,J00982,Onslow Salt,Infrastructure,Port,Operating,SALT,Industrial mineral,"PILBARA, Development Region","ASHBURTON, SHIRE OF",115.10115,-21.637048,Y
S0023352,J00982,Onslow Salt,Mine,Pond,Operating,SALT,Industrial mineral,"PILBARA, Development Region","ASHBURTON, SHIRE OF",115.156122,-21.706287,Y
S0236066,J05265,Mardie Salt-Potash / BCI,Mine,Pond,Under Development,SALT,Industrial mineral,"PILBARA, Development Region","KARRATHA, CITY OF",115.926501,-21.113907,Y
S0235708,J05140,Ashburton Salt / K+S,Mine,Pond,Proposed,SALT,Industrial mineral,"PILBARA, Development Region","ASHBURTON, SHIRE OF",114.730736,-21.875367,Y
S0016648,J00638,Lennard Shelf / Northwest,Deposit,Unspecified,Undeveloped,COPPER - LEAD - ZINC,Base metal,"KIMBERLEY, Development Region","DERBY/WEST KIMBERLEY, SHIRE OF",125.992788,-18.73047,Y
S0236617,J05392,Paterson / Greatland Resources,Mine,Decline,Under Development,GOLD,Precious metal,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",122.640676,-21.727803,Y
S0229735,J04280,Thunderbird - Kimberley Mineral Sands,Mine,Openpit,Operating,HEAVY MINERAL SANDS,Speciality metal,"KIMBERLEY, Development Region","BROOME, SHIRE OF",122.967888,-17.431701,Y
S0006490,J04046,Derby Port,Infrastructure,Port,Care And Maintenance,COPPER - LEAD - ZINC,Base metal,"KIMBERLEY, Development Region","DERBY/WEST KIMBERLEY, SHIRE OF",123.606706,-17.292027,Y
S0243493,J04280,Thunderbird - Kimberley Mineral Sands,Infrastructure,Power Plant,Operating,HEAVY MINERAL SANDS,Speciality metal,"KIMBERLEY, Development Region","BROOME, SHIRE OF",122.979812,-17.434991,Y
S0246907,J07139,Browse LNG Precinct Strategic Industrial Area,Infrastructure,Other,Proposed,UNASSIGNED,Other (MINEDEX non-minerals),"KIMBERLEY, Development Region","BROOME, SHIRE OF",122.164352,-17.512855,Y
S0224451,J03840,Badgingarra Wind and Solar Farm,Infrastructure,Power Plant,Operating,OTHER,Energy,"WHEATBELT, Development Region","DANDARAGAN, SHIRE OF",115.286487,-30.376318,Y
S0022716,J00748,Atlas - North Perth Basin,Mine,Openpit,Operating,HEAVY MINERAL SANDS,Speciality metal,"WHEATBELT, Development Region","DANDARAGAN, SHIRE OF",115.248907,-30.538151,Y
S0002635,J00514,Eneabba / Iluka,Mine,Openpit,Care And Maintenance,HEAVY MINERAL SANDS,Speciality metal,"MID-WEST, Development Region","CARNAMAH, SHIRE OF",115.295144,-29.904478,Y
S0236949,J06643,Arrowsmith Central Silica Sand / VRX Silica,Mine,Openpit,Proposed,SILICA - SILICA SAND,Industrial mineral,"MID-WEST, Development Region","IRWIN, SHIRE OF",115.169228,-29.656129,Y
S0018998,J02458,Dongara Minerals Sands / Tronox,Mine,Openpit,Proposed,HEAVY MINERAL SANDS,Speciality metal,"MID-WEST, Development Region","IRWIN, SHIRE OF",115.142904,-29.431465,Y
S0005925,J02369,Beharra Springs,Infrastructure,Processing Plant,Operating,PETROLEUM,Energy,"MID-WEST, Development Region","IRWIN, SHIRE OF",115.140711,-29.463087,Y
S0226110,J04146,Mumbida Wind Farm,Infrastructure,Power Plant,Operating,OTHER,Energy,"MID-WEST, Development Region","GREATER GERALDTON, CITY OF",114.966957,-28.988055,Y
S0020979,J02857,Alinta-Walkaway Wind Farm,Infrastructure,Power Plant,Operating,OTHER,Energy,"MID-WEST, Development Region","GREATER GERALDTON, CITY OF",114.892208,-28.922287,Y
S0236179,J05301,Yandin Wind Farm,Infrastructure,Power Plant,Operating,OTHER,Energy,"WHEATBELT, Development Region","DANDARAGAN, SHIRE OF",115.613492,-30.757824,Y
S0025511,J02940,Yandanooka HMS / Image,Deposit,Unspecified,Undeveloped,HEAVY MINERAL SANDS,Speciality metal,"MID-WEST, Development Region","MINGENEW, SHIRE OF",115.535417,-29.332167,Y
S0236299,J05330,Mondarra Underground Gas Storage Facility,Infrastructure,Processing Plant,Operating,PETROLEUM,Energy,"MID-WEST, Development Region","IRWIN, SHIRE OF",115.117841,-29.309984,Y
S0233998,J04869,Waitsia,Infrastructure,Handling-loading-storage,Operating,PETROLEUM,Other (MINEDEX non-minerals),"MID-WEST, Development Region","IRWIN, SHIRE OF",115.103204,-29.281017,Y
S0236157,J05298,Warradarge Wind Farm,Infrastructure,Power Plant,Operating,OTHER,Energy,"MID-WEST, Development Region","COOROW, SHIRE OF",115.4879,-29.9705,Y
S0001244,J00514,Eneabba / Iluka,Infrastructure,Processing Plant,Operating,HEAVY MINERAL SANDS,Speciality metal,"MID-WEST, Development Region","GREATER GERALDTON, CITY OF",114.678112,-28.817627,Y
S0022958,J01712,Geraldton Port Authority,Infrastructure,Port,Operating,UNASSIGNED,Other (MINEDEX non-minerals),"MID-WEST, Development Region","GREATER GERALDTON, CITY OF",114.594814,-28.776705,Y
S0239822,J05955,Haber,Infrastructure,Processing Plant,Proposed,OTHER,Other (MINEDEX non-minerals),"MID-WEST, Development Region","GREATER GERALDTON, CITY OF",114.680304,-28.820791,Y
S0001892,J00895,Lancelin / Westdeen,Mine,Openpit,Operating,LIMESTONE - LIMESAND,Industrial mineral,"WHEATBELT, Development Region","GINGIN, SHIRE OF",115.34756,-31.030411,Y
S0234330,J04090,Greenbushes Lithium,Infrastructure,Processing Plant,Operating,TIN - TANTALUM - LITHIUM,Speciality metal,METRO,"KWINANA, CITY OF",115.778415,-32.215868,Y
S0001568,J00485,Cooljarloo / Tronox,Infrastructure,Processing Plant,Operating,HEAVY MINERAL SANDS,Speciality metal,METRO,"KWINANA, CITY OF",115.774344,-32.228146,Y
S0001692,J00767,Kwinana Nickel Refinery,Infrastructure,Processing Plant,Care And Maintenance,NICKEL,Steel alloy metal,METRO,"ROCKINGHAM, CITY OF",115.764713,-32.251856,Y
S0001735,J00777,Jarrahdale - Kwinana,Infrastructure,Processing Plant,Shut,BAUXITE - ALUMINA,Alumina,METRO,"KWINANA, CITY OF",115.778408,-32.193217,Y
S0001738,J00779,Wagerup-Pinjarra / Alcoa,Infrastructure,Processing Plant,Operating,BAUXITE - ALUMINA,Alumina,"PEEL, Development Region","MURRAY, SHIRE OF",115.949655,-32.643204,Y
S0001994,J00960,Kwinana Bulk Terminal,Infrastructure,Port,Operating,UNASSIGNED,Other (MINEDEX non-minerals),,,115.765317,-32.208755,Y
S0003516,J01435,Perth Mint,Infrastructure,Processing Plant,Operating,GOLD,Precious metal,METRO,"BELMONT, CITY OF",115.96931,-31.961228,Y
S0004995,J01288,Rockingham Fused Zirconia-Alumina,Infrastructure,Processing Plant,Operating,HEAVY MINERAL SANDS,Speciality metal,METRO,"ROCKINGHAM, CITY OF",115.762108,-32.262992,Y
S0005024,J00896,Cockburn Sound Limesand,Mine,Dredging Area,Operating,LIMESTONE - LIMESAND,Construction material,METRO,"COCKBURN, CITY OF",115.661703,-32.07609,Y
S0019344,J02573,Fremantle Port Authority,Infrastructure,Port,Operating,UNASSIGNED,Other (MINEDEX non-minerals),METRO,"FREMANTLE, CITY OF",115.737812,-32.056128,Y
S0019409,J00896,Cockburn Sound Limesand,Infrastructure,Processing Plant,Operating,CONSTRUCTION MATERIALS,Construction material,METRO,"KWINANA, CITY OF",115.77441,-32.211466,Y
S0019503,J02618,Kwinana Power / Western Power,Infrastructure,Power Plant,Operating,OTHER,Energy,METRO,"KWINANA, CITY OF",115.774336,-32.198447,Y
S0019504,J02619,Kwinana LPG-LNG,Infrastructure,Processing Plant,Operating,PETROLEUM,Energy,METRO,"KWINANA, CITY OF",115.77794,-32.218199,Y
S0020259,J00779,Wagerup-Pinjarra / Alcoa,Infrastructure,Power Plant,Operating,OTHER,Energy,"PEEL, Development Region","MURRAY, SHIRE OF",115.946896,-32.647208,Y
S0020260,J02735,Kemerton Power / Transfield,Infrastructure,Power Plant,Operating,OTHER,Energy,"SOUTH WEST, Development Region","HARVEY, SHIRE OF",115.779613,-33.164876,Y
S0022206,J02618,Kwinana Power / Western Power,Infrastructure,Power Plant,Operating,OTHER,Energy,METRO,"KWINANA, CITY OF",115.775814,-32.200247,Y
S0023035,J00984,Kwinana Chemical Complex / CSBP,Infrastructure,Processing Plant,Operating,CHEMICALS,Other (MINEDEX non-minerals),METRO,"KWINANA, CITY OF",115.767009,-32.238287,Y
S0023212,J00779,Wagerup-Pinjarra / Alcoa,Infrastructure,Power Plant,Under Development,OTHER,Energy,"PEEL, Development Region","WAROONA, SHIRE OF",115.918514,-32.915488,Y
S0019248,J01107,Gnangara Silica Sand / Heidelberg Materials,Mine,Openpit,Operating,SILICA - SILICA SAND,Industrial mineral,METRO,"SWAN, CITY OF",115.933685,-31.750795,Y
S0236665,J04872,Mt Holland Lithium / Wesfarmers & SQM,Infrastructure,Processing Plant,Operating,TIN - TANTALUM - LITHIUM,Speciality metal,METRO,"KWINANA, CITY OF",115.770401,-32.218743,Y
S0001741,J00779,Wagerup-Pinjarra / Alcoa,Infrastructure,Processing Plant,Operating,BAUXITE - ALUMINA,Alumina,"PEEL, Development Region","WAROONA, SHIRE OF",115.913069,-32.913229,Y
S0234792,J05000,Muchea Silica Sand / VRX Silica,Mine,Unspecified,Proposed,SILICA - SILICA SAND,Industrial mineral,"WHEATBELT, Development Region","CHITTERING, SHIRE OF",115.882222,-31.494624,Y
S0019506,J02621,Kwinana Chlor Alkali Plant / Coogee Chemicals,Infrastructure,Processing Plant,Operating,CHEMICALS,Other (MINEDEX non-minerals),METRO,"KWINANA, CITY OF",115.775211,-32.231336,Y
