site_code,project_code,project_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0001224,J00484,Robe River - Deepdale,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",116.247364,-21.751424,Y
S0001346,J00573,Jimblebar-Wheelarra-Hashimoto / BHPB,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",120.13711,-23.380316,Y
S0001402,J00623,Newman / BHPB,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.67541,-23.365347,Y
S0001607,J00576,Mining Area C,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",118.962611,-22.929836,Y
S0002984,J00732,Yandicoogina / HI-Yandi,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.299578,-22.809561,Y
S0003023,J00571,Marillana Creek - Yandi / BHPB,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.113612,-22.741426,Y
S0020930,J00623,Newman / BHPB,Infrastructure,Power Plant,Operating,OTHER,Energy,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.708513,-23.344225,Y
S0022599,J03378,Balmoral South / Australasian Resources,Mine,Openpit,Proposed,IRON ORE,Iron,"PILBARA, Development Region","KARRATHA, CITY OF",116.129482,-21.117823,Y
S0022982,J03359,Marillana / Brockman - MRL JV,Mine,Openpit,Proposed,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.209612,-22.587486,Y
S0023221,J03418,Hardey / API,Mine,Openpit,Proposed,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",117.29112,-22.952741,Y
S0023281,J03436,Western Hub / FMG,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",116.830564,-22.493673,Y
S0023559,J01646,Solomon - Greater Solomon,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",117.869836,-22.159454,Y
S0237402,J05516,Chichester Power,Infrastructure,Other,Operating,OTHER,Energy,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.748401,-22.419358,Y
S0237403,J02889,Roy Hill Iron Ore,Infrastructure,Power Plant,Operating,OTHER,Energy,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.950167,-22.481549,Y
S0238495,J06545,Pilbara Energy Generation Project,Infrastructure,Power Plant,Operating,OTHER,Energy,"PILBARA, Development Region","ASHBURTON, SHIRE OF",117.956378,-22.148309,Y
S0238785,J00557,Gudai-Darri,Infrastructure,Power Plant,Operating,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.091997,-22.529727,Y
S0239697,J04564,Hancock / Alien,Mine,Openpit,Proposed,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.677494,-23.228025,Y
S0239823,J01407,East Pilbara Iron Ore / FMG,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",119.205939,-22.286145,Y
S0223635,J03678,Pilbara Iron (PIOP),Mine,Openpit,Proposed,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",117.47171,-22.136988,Y
S0019496,J02379,Northwest Shelf / Woodside,Infrastructure,Processing Plant,Operating,PETROLEUM,Energy,"PILBARA, Development Region","KARRATHA, CITY OF",116.778712,-20.592707,Y
S0021511,J02584,Yara Nitrates JV,Infrastructure,Processing Plant,Operating,CHEMICALS,Other (MINEDEX non-minerals),"PILBARA, Development Region","KARRATHA, CITY OF",116.787589,-20.630081,Y
S0022573,J03260,Pluto LNG,Infrastructure,Processing Plant,Operating,PETROLEUM,Energy,"PILBARA, Development Region","KARRATHA, CITY OF",116.768313,-20.613266,Y
S0021518,J02972,Karratha Ammonia-Urea / Perdaman,Infrastructure,Processing Plant,Proposed,PETROLEUM,Other (MINEDEX non-minerals),"PILBARA, Development Region","KARRATHA, CITY OF",116.774034,-20.625255,Y
S0001918,J00919,Munglinup Graphite / MRC,Deposit,Unspecified,Undeveloped,GRAPHITE,Industrial mineral,"GOLDFIELDS-ESPERANCE, Development Region","ESPERANCE, SHIRE OF",120.858634,-33.663501,Y
S0238745,J00056,Central Norseman,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","DUNDAS, SHIRE OF",121.795715,-32.480014,Y
S0001506,J00717,Wingellina,Mine,Unspecified,Proposed,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","NGAANYATJARRAKU, SHIRE OF",128.93931,-26.039626,Y
S0224540,J00347,Murchison / Westgold,Mine,Openpit,Care And Maintenance,GOLD,Precious metal,"MID-WEST, Development Region","CUE, SHIRE OF",118.138951,-27.461057,Y
S0224582,J00757,Forrestania Nickel / Western Areas,Mine,Decline,Care And Maintenance,NICKEL,Steel alloy metal,"WHEATBELT, Development Region","KONDININ, SHIRE OF",119.677784,-32.478137,Y
S0225867,J03467,Mt Bevan,Deposit,Unspecified,Undeveloped,IRON ORE,Iron,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",120.341279,-29.086445,Y
S0229274,J02146,Cue Gold,Mine,Openpit,Operating,GOLD,Precious metal,"MID-WEST, Development Region","CUE, SHIRE OF",117.831788,-27.697294,Y
S0230134,J04343,Twin Peaks,Mine,Openpit,Care And Maintenance,IRON ORE,Iron,"MID-WEST, Development Region","MURCHISON, SHIRE OF",116.025219,-27.309032,Y
S0230325,J00791,Medcalf - Bremer Range,Mine,Openpit,Proposed,VANADIUM - TITANIUM,Speciality metal,"GOLDFIELDS-ESPERANCE, Development Region","DUNDAS, SHIRE OF",120.782617,-32.538871,Y
S0231045,J02854,Marda / Southern Cross,Mine,Openpit,Operating,GOLD,Precious metal,"WHEATBELT, Development Region","YILGARN, SHIRE OF",119.409971,-29.953252,Y
