site_code,project_code,project_title,title,short_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0232055,J03644,Iron Bridge,North Star Power Plant,Power Plant,Infrastructure,Power Plant,Operating,Iron Ore,Iron,Pilbara,Shire Of East Pilbara,119.041173,-21.261625,Y
S0232136,J00358,Kundana - White Flag,Millennium,Millennium UG,Mine,Decline,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Coolgardie,121.237823,-30.707865,Y
S0232257,J04101,Mt Regal / Archipelago-Spinifex,Mt Regal South / Archipelago-Spinifex,Mt Regal South/Archipelago-Spinifex,Mine,Openpit,Operating,Construction Materials,Construction Material,Pilbara,City Of Karratha,116.730908,-20.818404,Y
S0232417,J03961,Caravel Copper,Bindi,Bindi,Deposit,Unspecified,Undeveloped,Copper - Lead - Zinc,Base Metal,Wheatbelt,Shire Of Wongan-Ballidu,116.618928,-30.968715,Y
S0232513,J01703,Sunrise Dam,Sunrise Dam Power Station,Power Station,Infrastructure,Power Plant,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Laverton,122.439058,-29.092441,Y
S0232728,J02816,Kalgoorlie North,Zoroastrian Central,Zoroastrian Central,Mine,Openpit,Proposed,Gold,Precious Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.284819,-30.337147,Y
S0232796,J00134,Granny Smith,Granny Smith Power Station,Power Station,Infrastructure,Power Plant,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Laverton,122.357394,-28.843291,Y
S0233080,J04723,Sandy Ridge Kaolin / Tellus,Sandy Ridge / Tellus,Sandy Ridge / Tellus,Mine,Openpit,Under Development,Clays,Industrial Mineral,Goldfields-Esperance,Shire Of Coolgardie,120.085354,-30.356090,Y
S0233226,J04745,Roe,Bombora - Lake Roe,Bombora,Mine,Openpit,Proposed,Gold,Precious Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,122.567060,-30.715117,Y
S0233293,J04167,Nova-Bollinger,Nova Solar Farm,Solar Farm,Infrastructure,Power Plant,Operating,Nickel,Steel Alloy Metal,Goldfields-Esperance,Shire Of Dundas,123.191759,-31.839034,Y
S0233303,J04512,Pilgangoora / Pilbara Minerals,Central - Far East,Central-Far East,Mine,Openpit,Operating,Tin - Tantalum - Lithium,Speciality Metal,Pilbara,Shire Of East Pilbara,118.905240,-21.056337,Y
S0233684,J02521,Bunbury Port / Southern Ports Authority,Bunbury Port Berth 5 / Southern Ports Authority,Berth 5 / Southern Ports Authority,Infrastructure,Port,Operating,Unassigned,Other (Minedex Non-Minerals),South West,City Of Bunbury,115.660829,-33.324265,Y
S0233998,J04869,Waitsia,Waitsia,Waitsia,Infrastructure,Handling-Loading-Storage,Operating,Petroleum,Other (Minedex Non-Minerals),Mid-West,Shire Of Irwin,115.103204,-29.281017,Y
S0234027,J04813,Lake Wells Potash / Australian Potash,Lake Wells Central Potash / AP,Lake Wells Central/AP,Deposit,Unspecified,Undeveloped,Potash,Industrial Mineral,Goldfields-Esperance,Shire Of Laverton,123.004514,-27.251075,Y
S0234095,J04872,Mt Holland Lithium / Wesfarmers & SQM,Earl Grey Lithium Mine Pit,Earl Grey Lithium Pit,Mine,Openpit,Operating,Tin - Tantalum - Lithium,Speciality Metal,Wheatbelt,Shire Of Yilgarn,119.747965,-32.092628,Y
S0234164,J04902,Kathleen Valley Lithium,Kathleen Corner Pit,Kathleen Corner,Mine,Openpit,Operating,Tin - Tantalum - Lithium,Speciality Metal,Goldfields-Esperance,Shire Of Leonora,120.558141,-27.471056,Y
S0234330,J04090,Greenbushes Lithium,Kwinana Lithium Hydroxide Plant / Tianqi,Lithium Plant/Tianqi,Infrastructure,Processing Plant,Operating,Tin - Tantalum - Lithium,Speciality Metal,Metro,City Of Kwinana,115.778415,-32.215868,Y
S0234331,J04930,Kambalda Gold / RNC,Beta Hunt Underground Gold,Beta Hunt,Mine,Decline,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Coolgardie,121.689952,-31.242525,Y
S0234340,J01718,Kundana East,Rubicon Power Plant,Power Plant,Infrastructure,Power Plant,Proposed,Other,Energy,Goldfields-Esperance,Shire Of Coolgardie,121.261449,-30.746316,Y
S0234476,J00147,Deflector,Deflector Underground,Deflector UG,Mine,Decline,Operating,Gold,Precious Metal,Mid-West,Shire Of Yalgoo,116.379451,-28.668979,Y
S0234764,J03724,Feysville,Kamperman,Kamperman,Deposit,Unspecified,Undeveloped,Gold,Precious Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.583848,-30.931857,Y
S0234790,J00358,Kundana - White Flag,Kundana Power Station,Power Station,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,Shire Of Coolgardie,121.240802,-30.711329,Y
