SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,SYMBOL_STATUS,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0238745,Green Lantern,Green Lantern,Mine,Openpit,Operating,J00056,Central Norseman,121.795715,-32.480014,386841,6405718,51,Au Ag,Precious metal,GOLD,Central Norseman,N,,Y,PRME,O,Major Projects,Public,3233,NORSEMAN,SI51-02,NORSEMAN,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,"Northern Foreland, Albany-Fraser Orogen",20260515
S0001506,Wingellina,Wingellina - Claude Hills,Mine,Unspecified,Proposed,J00717,Wingellina,128.93931,-26.039626,493928,7119926,52,Ni Fe Co Sc,Steel alloy metal,NICKEL,Wingellina Ni Co Sc,Y,Ni Fe Co Sc,Y,STAM,P,Major Projects,Public,4645,BELL ROCK,SG52-10,COOPER,"NGAANYATJARRAKU, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",69,WARBURTON M.F.,Warakurna Large Igneous Province,20260515
S0224540,Genesis,Genesis - Tuckabianna,Mine,Openpit,Care and Maintenance,J00347,Murchison / Westgold,118.138951,-27.461057,612541,6961981,50,Au,Precious metal,GOLD,Murchison - Tuckabianna,N,,Y,PRME,C,Major Projects,Public,2543,REEDY,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20260515
S0224582,Spotted Quoll UG,Spotted Quoll Main and North Underground,Mine,Decline,Care and Maintenance,J00757,Forrestania Nickel / Western Areas,119.677784,-32.478137,751649,6403405,50,Ni Co,Steel alloy metal,NICKEL,Forrestania Ni Co,Y,Ni Co,Y,STAM,C,Major Projects,Public,2833,HOLLAND,SI50-04,HYDEN,"KONDININ, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20260515
S0225867,Mt Bevan Magnetite,Mt Bevan Magnetite,Deposit,Unspecified,Undeveloped,J03467,Mt Bevan,120.341279,-29.086445,241207,6779517,51,Fe Mag,Iron,IRON ORE,Mt Bevan,Y,Fe Mag,Y,IRON,P,Major Projects,Public,2939,MOUNT MASON,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",29,MENZIES,Youanmi Terrane,20260515
S0229274,Break of Day,Break of Day,Mine,Openpit,Operating,J02146,Cue Gold,117.831788,-27.697294,582013,6936053,50,Au Ag,Precious metal,GOLD,Cue Gold,N,,Y,PRME,O,Major Projects,Public,2442,AUSTIN,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",58,MT. MAGNET,Youanmi Terrane,20260515
S0230134,Woolbung Peak,Woolbung Peak,Mine,Openpit,Care and Maintenance,J04343,Twin Peaks,116.025219,-27.309032,403550,6978959,50,Fe,Iron,IRON ORE,Twin Peaks,N,,Y,IRON,C,Major Projects,Public,2143,MURGOO,SG50-14,MURGOO,"MURCHISON, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260515
S0230325,Egmont,Egmont - Medcalf,Mine,Openpit,Proposed,J00791,Medcalf - Bremer Range,120.782617,-32.538871,291768,6397664,51,Ti V Mag,Speciality metal,VANADIUM - TITANIUM,Medcalf – Bremer Range Ti V Mag,Y,Ti V Mag,Y,STAM,P,Major Projects,Public,3032,TAY,SI51-01,LAKE JOHNSTON,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Youanmi Terrane,20260515
S0231045,Die Hardy North,Die Hardy North,Mine,Openpit,Operating,J02854,Marda / Southern Cross,119.409971,-29.953252,732580,6683952,50,Au Ag,Precious metal,GOLD,Marda,N,,Y,PRME,O,Major Projects,Public,2738,JOHNSTON RANGE,SH50-08,BARLEE,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20260515
S0233080,Sandy Ridge / Tellus,Sandy Ridge / Tellus,Mine,Openpit,Under Development,J04723,Sandy Ridge Kaolin / Tellus,120.085354,-30.35609,219839,6638153,51,Kln,Industrial mineral,CLAYS,Sandy Ridge Kln,Y,Kln,Y,INMI,U,Major Projects,Public,2937,NEARANGING,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Youanmi Terrane,20260515
